inputs;outputs
0.0, 0.7563805104408353, 0.7529047250193648, 0.8853601859024013, 0.004640371229698376, 0.05104408352668213, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333;0.0, 0.0, 0.0, 1.0
0.0, 0.7556071152358855, 0.7529047250193648, 0.8853601859024013, 0.0038669760247486465, 0.050270688321732405, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333;0.0, 0.0, 0.0, 1.0
0.0, 0.7548337200309359, 0.7529047250193648, 0.8853601859024013, 0.0030935808197989174, 0.04949729311678268, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333;0.0, 0.0, 0.0, 1.0
0.0, 0.7540603248259861, 0.7529047250193648, 0.8853601859024013, 0.002320185614849188, 0.048723897911832945, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333;0.0, 0.0, 0.0, 1.0
0.0, 0.7532869296210364, 0.7529047250193648, 0.8853601859024013, 0.0015467904098994587, 0.04795050270688322, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333;0.0, 0.0, 0.0, 1.0
0.0, 0.7525135344160866, 0.7529047250193648, 0.8853601859024013, 7.733952049497294E-4, 0.04717710750193349, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333;0.0, 0.0, 0.0, 1.0
0.0, 0.7517401392111369, 0.7498063516653757, 0.8853601859024013, 0.0030935808197989174, 0.04640371229698376, 0.9954545454545455, 1.0, 0.0, 0.0, 0.0, 0.0, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333;0.0, 0.0, 0.0, 1.0
0.0, 0.7501933488012374, 0.7498063516653757, 0.8853601859024013, 0.0015467904098994587, 0.0448569218870843, 0.9954545454545455, 1.0, 0.0, 0.0, 0.0, 0.0, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333;1.0, 0.0, 0.0, 0.0
0.0, 0.7501933488012374, 0.7498063516653757, 0.8853601859024013, 0.0015467904098994587, 0.0448569218870843, 0.9954545454545455, 1.0, 0.0, 0.0, 0.0, 0.0, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333;1.0, 0.0, 0.0, 0.0
0.0, 0.7494199535962877, 0.7498063516653757, 0.8853601859024013, 7.733952049497294E-4, 0.04408352668213457, 0.9954545454545455, 1.0, 0.0, 0.0, 0.0, 0.0, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333;1.0, 0.0, 0.0, 0.0
0.0, 0.748646558391338, 0.7467079783113865, 0.8853601859024013, 0.0030935808197989174, 0.04331013147718484, 0.990909090909091, 1.0, 0.0, 0.0, 0.0, 0.0, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333;1.0, 0.0, 0.0, 0.0
0.0, 0.7478731631863882, 0.7467079783113865, 0.8853601859024013, 0.002320185614849188, 0.042536736272235115, 0.990909090909091, 1.0, 0.0, 0.0, 0.0, 0.0, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333;1.0, 0.0, 0.0, 0.0
0.0, 0.7470997679814385, 0.7467079783113865, 0.8853601859024013, 0.0015467904098994587, 0.04176334106728538, 0.990909090909091, 1.0, 0.0, 0.0, 0.0, 0.0, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333;1.0, 0.0, 0.0, 0.0
0.0, 0.7463263727764888, 0.7467079783113865, 0.8853601859024013, 7.733952049497294E-4, 0.040989945862335654, 0.990909090909091, 1.0, 0.0, 0.0, 0.0, 0.0, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333;1.0, 0.0, 0.0, 0.0
0.0, 0.745552977571539, 0.7436096049573974, 0.8853601859024013, 0.0030935808197989174, 0.04021655065738593, 0.9863636363636363, 1.0, 0.0, 0.0, 0.0, 0.0, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333;1.0, 0.0, 0.0, 0.0
0.0, 0.7447795823665894, 0.7436096049573974, 0.8853601859024013, 0.002320185614849188, 0.03944315545243619, 0.9863636363636363, 1.0, 0.0, 0.0, 0.0, 0.0, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333;1.0, 0.0, 0.0, 0.0
0.0, 0.7440061871616396, 0.7436096049573974, 0.8853601859024013, 0.0015467904098994587, 0.038669760247486466, 0.9863636363636363, 1.0, 0.0, 0.0, 0.0, 0.0, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333;1.0, 0.0, 0.0, 0.0
0.0, 0.7432327919566899, 0.7436096049573974, 0.8853601859024013, 7.733952049497294E-4, 0.03789636504253674, 0.9863636363636363, 1.0, 0.0, 0.0, 0.0, 0.0, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333;1.0, 0.0, 0.0, 0.0
0.0, 0.7424593967517401, 0.7072037180480247, 0.8853601859024013, 0.0030935808197989174, 0.037122969837587005, 0.9818181818181818, 1.0, 0.0, 0.0, 0.0, 0.0, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, -7.733952049497294E-4, 0.0, 0.0, 0.0, 0.0;1.0, 0.0, 0.0, 0.0
